Question,Answer
How do I set up a paid publication?,"After creating a publication:

1. Sign into your Subtstack account and navigate to your publication's Settings page.

2. Scroll down to ""Payments"" and click the button that says ""Connect with Stripe"".

3. You'll be taken to Stripe's website, where you'll fill out required details to start receiving payments. Learn more here on what information Stripe requires.

4. After you've returned to the Settings page, set a price for your monthly and yearly subscriptions.

Note: At this time, we do not offer a ""yearly only"" subscription plan.

You can also offer a Founding Member plan. This is an annual plan that lets readers subscribe at any amount higher than the monthly and yearly plans. Learn more here on how to set up a subscription plan for Founding Members.

5. When you're ready, check the “Enable payments” box, which will make your paid subscriptions go live. Your readers won't see that you offer paid subscriptions until you check this box."
How do payouts work on Substack?,Payments usually arrive in your bank account within 48 hours of each transaction; you can read more information from our payment processor here.
Can I link multiple publications to the same Stripe account?,"You can't, but Stripe makes it easy to manage multiple accounts, and you can have the money go to the same bank account."
How does paid subscriptions work in the Substack app?,"At this time, new readers can only become paid subscribers on the web.

However, they can easily subscribe as a free subscriber on the Substack app. Once they subscribe to your publication on the app, they’ll get an email confirmation with upgrade options and a link to your publication's subscription page that they can access from the web just like normal.
"
How do I make changes to a reader's subscription?,"Navigate to your Subscribers tab and locate the subscriber by entering their email address in the Search bar:

Click on the three dots next to their name and select ""Edit Subscription"":

For a paying subscriber

Turn off auto-renew: their paid subscription will end after their current billing period.
Cancel subscription: cancel their subscription to issue a prorated or full refund and they'll be downgraded to a free subscriber.
To learn more about Substack's refund policy, read this article.
Remove from email list

Removing a free or paid subscriber from your email list will stop the subscriber from receiving any emails from your publication moving forward. For paying subscribers, their subscription will be canceled with a prorated refund."
How do I cancel a subscription and issue a refund for a paid subscriber?,"To cancel a paid subscription and issue a refund, navigate to your  Subscribers tab.

Locate the paid subscriber by entering their email address in the Search bar:

Click on the three dots next to their name and select ""Edit Subscription"":

You'll then have the option to cancel their subscription with a pro-rated or full refund.

Once the paid subscriber is canceled, the reader will be notified about via email about their refund and be downgraded to a free subscriber. They'll receive free posts but won’t have access to paid-only posts or comments on paid-only posts.

To learn more about Substack's refund policy, read this article.

Important: Publishers should issue all refunds through the Substack Subscribers dashboard. Refunds issued through the Stripe dashboard will include Substack's 10% fee. Should a reader who has already canceled contact you to request a refund, please ask them to fill out this form."
A subscriber told me they aren't getting my emails. What should I do?,"There can be a variety of reasons of why a subscriber isn't receiving your Substack emails. In most cases, your emails may have unintentionally been marked as Spam.

We recommend sharing this page with your reader to help them get started with receiving your newsletter again!"
"Someone subscribed to my publication and had a payment failure, but they still got a success page on Substack. Is this a bug?","If the subscriber's payment fails, we'll automatically retry and email the subscriber on your behalf, asking them to update their payment method. Our payment processor Stripe will generally retry payments 3 times automatically before a paid subscription is canceled.

If you'd like to reach out to subscribers with payment failures, we've seen that personal outreach from the author can further improve the customer's willingness to update their card or call their bank if they're experiencing issues. But even if you don't do anything, don't worry, we'll keep trying on your behalf."
Readers are saying that they're blocked from paying to subscribe. Why?,"If your readers are being blocked from paying to subscribe to your newsletter, it's possible that:

Our payments processor, Stripe, may have flagged your account and blocked it from accepting payments.

Payments may not be supported in the country you reside in.

A reader's bank may think the charge is fraudulent and have blocked the transaction. We recommend they contact their bank as a next step and ask their bank to allow the charge to clear."
A guide to Substack metrics,"On your Substack dashboard, there's three main places you'll want to check to see how your publication is doing: Posts, Subscribers, and Stats. 

Posts

The Posts page tells you about individual posts you've published and where your readers came from.

Total views: The number of views on your post, similar to page views. They include both web, email, or the Substack app. 

Free subscription: The number of people who subscribed to your email list from that post.

Paid subscription: The number of people who signed up for a paid subscription from that post.

Shares: The number of people who clicked “Share” from that post.

Recipients: The number of unique people who received an email or Substack app notification about this post. 

Open rate: The percentage of people who viewed this post after receiving an email or Substack app notification about it.

Link clicks: The percentage of openers who clicked a given link in your post and the total click count.

Traffic sources: The top traffic sources that readers found a post from.

Subscribers

The Subscribers dashboard tells you about who’s signed up to your publication and how it's growing.

All subscribers: Includes free and paid subscribers.

Paid subscribers: The number of paying subscribers on your list. This includes gifts, complimentary, and free trial subscriptions. To see a more detailed breakdown, click the ""Paid subscribers"" tab on the graph, which will show you paid subscribers, comps, gifts, and free trials.

Gross annualized revenue: How much money you make per year, before Substack’s fees and credit card transaction fees (charged by Stripe). This figure is annualized, meaning that we look at your revenue at any given time and figure out what it would look like over the course of 12 months, assuming the mix of monthly and annual subscriptions remains constant. 

For publications with paid subscriptions enabled

The Paid Subscribers Growth chart helps you identify patterns in new paid subscribers, upgrades from free to paid, downgrades from paid, and expirations.

New subscribers refers to the number of individuals who were not free subscribers when they purchased a paid subscription on the specified date.

Existing subscribers upgrading from free refers to the number of individuals who were free subscribers when they purchased a paid subscription on the specified date.

Unsubscribes refers to the number of subscribers who unsubscribed from the publication on the specified date. Users who unsubscribe will still have paid access and be counted as a paid subscriber until their existing subscription expires.

Expirations refers to the number of subscribers who had previously unsubscribed and have now lost their paid access on the specified date. Expired subscribers may either downgrade to a free subscription or churn off completely.

Stats

The Stats page displays metrics for up to five categories: Traffic, Emails, Unsubscribes, Network, and Recommendations. The Unsubscribes and Network tabs are only visible for paid publications. 

Traffic
The Total traffic section tells you about the sum of all visits to your publication across platforms. You can see a 30 day, 90 day, or all time view.

Top sources shows where visitors came from and and how many subscribed. 

Visitors: The number of visitors who've been to your Substack (includes any post, not just your homepage).

Source: Where your visitors came from, also known as referral traffic. 

Under your referral traffic, if you see ""about"" or ""post"" in parentheses, such as ""facebook.com (post)"", it means your visitors came to that type of page on your Substack (e.g. your About page or a post you’ve published). Other websites can pass their own referral information through links, however, so not everything you see in parentheses is something that we track.

Emails

The Emails section provides a table of data for every post you send out, including the title, send date, audience, number of email deliveries and opens, open rate, free and paid subscriptions in 1 day, likes, comments, and shares.

By default, the table is sorted by most recent posts first, but you can sort it by different criteria  by clicking on the relevant column header. For example, to see your posts with the highest open rate, click the “Open Rate” header and it will sort from highest to lowest. Click the same header again, and you will see your posts sorted from lowest to highest open rate instead. 

Unsubscribes

If you have paid subscriptions, the Unsubscribes section provides you with a list of reasons why previous paid subscribers chose to unsubscribe from your publication. Your unsubscribe stats also include their emails and unsubscribe dates.

Network

If you have paid subscriptions, the Network section tells you how many of your paid subscribers came via the Substack network. The Substack publication and payment ecosystem makes it simple for readers to find and subscribe to their favorite publications.

The chart and table break down your paid subscribers into four categories based on how they came to your publication:

Substack platform features: Readers who subscribed as a direct result of Substack’s platform features, such as leaderboards, recommendations, or promotions.

Substack saved credit cards: Readers who could subscribe to your publication in only one click because they already had a payment method on file with Substack.

Substack existing accounts: Readers who could more easily subscribe to your publication because they already had a Substack account.

Imported accounts: Readers who you imported.

New accounts: Readers who came directly to your publication.

If you have Podcasts enabled, learn more here about your Podcast dashboard."
Changes to your Substack Gross Annualized Revenue,We’ve recently made some adjustments on how we calculate your publication’s GAR which you may have noticed on your Subscriber dashboard.
What causes my GAR to change?,"If you or a paid subscriber have made changes to their subscription, this can affect your publication's GAR.

The following subscription changes are now recognized differently.

Extending a subscription period

A reader's $10/month subscription is ending on 1/31 but you've extended their subscription on 1/20 for 7 days at no cost to them.

Previous GAR calculation: The GAR for this reader would drop to $0 on 1/20 and be $0 until 1/27. On 1/28, the GAR would increase back to $10 until 2/7 (the original end date plus the extension period).
New GAR calculation: The GAR for this reader will stay $10 until the original end date on 1/31 and on 2/1 (when the extension starts) the GAR will drop to $0 until 2/7.
A refund occurs

A reader subscribes to a $10/month plan on 1/1 but cancels their subscription and you issue a refund on 1/10.

Previous GAR calculation: Prior to the refund on 1/10, the reader GAR would've been $10 between 1/1-1/9. Once a refund is processed, the GAR value would be retroactively changed to $0 between 1/1-1/9.

New GAR calculation: The reader GAR will be $10 between 1/1-1/9. Processing the refund will not affect historical numbers and the GAR value between 1/1-1/9 will remain $10. This will drop to $0 once the refund is processed.
Changes in the exchange rate

A reader subscribes to a plan on 1/1 and is charged in euros when the rate is 1 euro= 1.1 USD. They cancel their subscription and are refunded on 1/10 when the exchange rate is 1.2.

Previous GAR calculation: The refund’s USD value would be calculated using the exchange rate from the date the subscription was purchased. In this example, the value would be 1.1.

New GAR calculation: The refund’s USD value will be calculated using the exchange rate from the date the subscription is refunded. In this example, the value will be 1.2.
A reader changes their plan mid-subscription

A reader's $10/month subscription is ending on 1/31 but they upgrade to a $100/year plan on 1/20. 

Previous GAR calculation: The GAR for their original plan would continue to be counted until the end date on 1/31. The GAR for the new plan would also be counted after 1/20. The total GAR for this subscription would be $110 between 1/20-1/31.

New GAR calculation: The original plan will stop being included in the GAR once the reader changes their plan and only the new plan will be included. The GAR for this subscription will be $10 between 1/1-1/19 and increase to $100 on 1/20."
Where can I see how readers got to my Substack post?,"When logged into your Substack account, head to your Posts tab and click on the down arrow next to each individual post.

Here, you'll find information on where readers of that particular post came from:"
What does each traffic source mean?,"Email- Your post was sent as a newsletter and opened and viewed in an email sent from your publication.

Direct- When a reader types your publication URL directly into the browser and clicks on your post or when there's an unknown source such as when a reader is using a web browser anonymously.

Other- Sources that account for <1% of views will appear as ""Other"".

Popular sites- If you or other readers shares your post on social media (Facebook, Twitter, etc), we'll display the site domain where readers clicked on the link and landed on your Substack post."
How do I use the subscriber dashboard?,"In this article, our video tutorial will walk you through your subscriber dashboard, including how to: 

Customize your dashboard view
Filter your subscriber list
Understand your subscribers’ behavior
Send targeted emails to a subset of subscribers
For more details and a closer look, please feel free to check out this post.
https://on.substack.com/p/subscriber-dashboard-guide
"
What is the meaning of each source on my Stats page?,"Your Stats tab will display metrics around monthly visitors and the sources from which they came from. To learn more about what each source means, please see below.
 
Direct:
- When someone types in your URL directly into the browser and lands on your publication
- When someone who is using a web browser anonymously lands on your publication
- When someone accesses your publication via email
 
Visitors:
- The number of people who visited your publication from the related source (i.e. 36 people came from Facebook and landed on your site)
 
Free Signups:
- The number of people who signed up for a free subscription from the related source (i.e. 9 people from Facebook signed up for free)
 
Subscribed:
- The number of people who signed up for a paid subscription from the related source (i.e. 0 people from Facebook signed up for a paid subscription)
 
When we send an email with a link, we'll add a tag to that link so we can track where traffic is coming from.
 
Direct (CTA):
- This means someone clicked on a CTA (call to action) from an email and landed on your publication

Direct (Substack):
- This means that someone clicked on a CTA (call to action) from Substack.com and landed on your publication
 
Substack Network:
-If you have paid subscriptions, the Network section tells you how many of your paid subscribers came via the Substack network. The Substack publication and payment ecosystem makes it simple for readers to find and subscribe to their favorite publications."
"How are ""Opens"" captured?","Substack detects opens by watching users load the images in their messages. Often this happens when the user clicks an email, but sometimes images can load in previews, or even be eagerly loaded by email clients for messages at the top of a user's mailbox. In addition, users can change their mailer settings to decline to load images or read text-only versions of the messages that don't load images at all.
 
Each email sent by Substack is marked with its intended recipient. We track opens by the intended recipient, not by the email messages themselves, so a reader who forwards their email to a friend will appear as a single user, opening a message twice.
 
The ""open rate"" we show in the interface is the proportion of intended recipients who have opened the email. Below the open rate we show the absolute number of opens, but an individual opening the same email many times (or sending it to their friends) may count for multiple entries in that absolute number."
How do Substack app reads show up in my Stats?,"When a reader opens your post in the Substack app, it'll count the same way that an email open counts in your Stats. "
What happens to my email list for readers who read in the Substack app?,"You will always own your readers’ email addresses and be able to export them at any time if you wish. When a new reader subscribes to you from the app, you’ll get their email address just like normal and be able to see their details on your Subscribers tab on the Substack.com."
Can subscribers listen to a voiceover on a podcast player?,"If you add a voiceover to a new post, you can select whether you'd like that voiceover post to appear on podcast players.

Make sure that:

You have a podcast on Substack set up.
You've submitted your podcast RSS feed to external podcast players like Apple Podcasts.
You create a new post and not a new episode on your Posts page.
Once you've inserted a voiceover and are finished with the draft post, click on Continue.

Next to ""Add voiceover to podcast RSS feed"" click on the toggle. A colored toggle will indicate that once published, this voiceover post will be pushed to podcast players.

Note: If you've selected the post to go to everyone, it will go to both your public podcast RSS feed and paid private feeds. If the post is only for paying subscribers, it will only go to their unique private podcast feed."
How do I create a preview of a paid podcast episode for free listeners?,"If your podcast episode is intended for paid subscribers, you can add a customized version of the audio to your post so that free listeners can listen to a preview.

On your Writer dashboard, select ""New episode"".

On the draft episode post, select ""Click to add audio"" and a new dashboard will appear on the right. Check the box next to ""Add free version"" and upload a customized version of your audio file or record your own audio. You can let your free listeners know that this is a paid episode and to hear more, they can upgrade to a paid subscription. 

After the free version of the audio has been uploaded, you can listen to the audio for paid subscribers or the audio for free listeners. Paid subscribers will only be presented with the original audio that you first uploaded to the post.

Once you're ready to make your post live, select ""Continue"" and ensure on your Publish page that the audience for the post is set to ""Paid subscribers only"".

If you've selected to send the post via email and the Substack app inbox, check the box next to ""Free subscribers""."
How does my podcast episode look like to listeners?,"On podcast players:

Since only paid subscribers can listen to paid episodes via their private RSS feed (except for Spotify who doesn't allow private RSS feeds), free listeners can click on an episode that has a free preview and listen to the customized version you've uploaded.

In the show notes, we'll let them know that they're listening to a free preview of a paid episode and link to your Substack publication.

Note: The title that appears on the podcast episode is what you've entered as the title of your post.

In an email newsletter:

When free listeners receive your email newsletter, they'll be able to click on ""Listen to preview"" and be sent to the web version of your post on a new browser. They'll also see part of your episode details and then be prompted to become a paying subscriber in order to listen to the complete episode.

On the Substack app:

Free listeners can tap on a post and listen to a free preview of the podcast episode directly on the Substack app. If they'd like to upgrade their subscription to become a paid subscriber, they can do so on the web version of Substack.com."
What artwork appears for my Substack podcast?,"When you create a podcast on Substack, you'll need to upload an image. You can think of this logo like branding for your podcast that'll appear in podcast players like Apple and Spotify. 

The default image is a microphone but this can be changed anytime on your Podcast Settings page. Select ""Change"" to upload a logo that matches your brand."
Where does my podcast artwork come from?,"Your podcast artwork can appear on different parts of your publication like your homepage and the episode page.

However, podcast artwork isn't limited to just your podcast logo and different images may appear.

Images can be pulled from various places:

Podcast artwork: This is the main logo for your podcast set on the Podcast Settings page.

Podcast artwork for paid episodes: If you have payments enabled, you can set additional artwork for paid episodes on the Podcast Settings page.

Social preview: The image you set on the Post Settings page.

Images from your post: Images that you include in the body of your post can appear as your podcast artwork.

Imported podcast artwork: If a podcast episode was imported to Substack, we'll use that podcast artwork as your Substack artwork. 

The default Substack microphone: If an image is required, we'll sometimes use the default 

Substack podcast microphone. If you upload your own podcast logo, we will never use the default.

Note: The order or precedence of the above can vary."
Where can listeners see my podcast artwork?,"At the top of an episode page, we show an image which is the same image we use in podcast players that support individual episode images (like Spotify).

The order is:

Podcast artwork for paid episodes (if the episode is paid).

Podcast artwork.

Image from the body of the post.

The default Substack microphone.

On your publication homepage, we pick the podcast artwork last and will never use the default 

Substack microphone.

The order is:

The social preview image.

Image from the body of the post.

Podcast artwork for paid episodes.

Podcast artwork (unless you have the default Substack microphone as a logo).

If none of the above are available and we need to show an image, a gray box will appear."
Understanding your Substack Podcast dashboard,"On your Podcast tab, you can see overall data on how your podcast is performing:

Average downloads 7/30/90 days after publishing an episode

Daily and cumulative downloads

Total downloads for each episode

Top countries and top players your audience is using

Overview

The Overview shows total and average downloads 7/30/90 days after publishing an episode.

Note: Total downloads are how many times a listener has downloaded or streamed an episode on their device via a web post or a podcast player. Any podcasts apps or players that use your Substack RSS feed as the source will be included.


Episodes

Each podcast episode also has a corresponding Substack post which you can view on the Posts tab. Click to expand the post and see view and open rates (if sent as an email) as well as any subscriptions gained after listening to that episode."
What is the difference between views and downloads?,"Readers can view a post by going to your Substack publication on the web and never stream the episode. Alternatively, listeners can download or stream an episode via their podcast player and never view the post. 

These are two different stats."
How do I listen to episodes on my podcast app?,"If you're subscribed as a listener to a publication, you can listen to episodes directly on your favorite podcast app."
How do I get started?,"Access your private podcast feed URL anytime on the settings page for your subscription.

You can add the publication to your app using a link you receive via email or you can manually add the feed URL to your app. 

Using a link sent via email (on your phone)

1. In the podcast setup email you receive from Substack, click on ""Add to podcast app"" and a new tab will open on your browser.

Note: If you tap your preferred podcast app and it does not load, please try manually adding the podcast feed URL to the app itself.

2. Select your podcast app and your unique private RSS feed should automatically populate in the show URL box.

3. Follow the show and you can now access episodes in your Library.

Tip: If you're a paying subscriber, episodes will be labeled ""Premium"" and you'll be able to play and listen to every premium episode for that publication."
Manually add a private RSS feed to your podcast app,"There are two ways you can access the private RSS feed.

On your Settings page:

1. Click on the publication you'd like to listen to on your podcast app.

2. Select ""Click here"" under Private podcast feed.

3. Copy the feed URL and paste it into your podcast app. Typically, you can enter the URL into the podcast app show search bar or in an ""Add URL"" section."
On a podcast episode post,"1. Select ""Listen on"" and from the drop-down menu, click on ""Copy link"".

2. Paste the link into the ""Add URL"" section on your podcast app player.

To manually add a feed on Apple Podcasts, click on Library and the three dots in the top right corner. Select ""Add a Show by URL"" and enter the URL that you copied from your subscription's Settings page."
Will my Podcast RSS feed show paid-only content?,"Each subscriber gets a private Podcast RSS feed that's unique to them. Depending on whether or not they have a paid subscription, the feed might include public episodes or public and paid episodes.

If your podcast episode is intended for paid subscribers, you can add a customized version of the audio to your post so that free listeners can listen to a preview."
How do I create and publish a podcast?,"You can publish podcast episodes through your publication. Podcasts hosted on Substack can then be submitted to podcast apps, such as Apple Podcasts, Spotify, Stitcher, TuneIn, and Pocket Casts.

If you're starting a brand new podcast on Substack:

1. When logged into your Substack account, click on the Podcast tab.

2. Select ""Start a new podcast"".

3. Add a few details about your podcast:

Title (be clear and descriptive so that it'll be easy to search for on Substack and other podcast platforms).
Description (to tell listeners what your podcast is about).
Categories (platforms like Apple Podcasts will use them to sort and recommend your show).
Podcast artwork (square image at least 1400px wide).
Podcast tab (checking this box will add a podcast tab to your publication).

4. Click ""Done"" and your podcast is now set up."
How do I create a new episode and share with my subscribers?,"You can upload your own audio file or record audio directly on your publication.

1. Click on ""New episode"" in the Create section on your Posts page or ""New episode"" on your Podcast tab.

2. On the draft episode post, select ""Click to add audio"" and a new dashboard will appear on the right. Upload an audio file or select ""Record"". 

Note: We support the following file types: mp3, mp4, aac, aiff, x-aiff, amr, flac, ogg, wav, and x-wav. 

3. If the podcast episode is for paid subscribers only, you can also add a free preview for free listeners. Click on the checkbox next to ""Add free version"". Upload or record a snippet.

4. Click done and add some text to your post– this will be sent in your newsletter to subscribers and also appear as ""Episode details"" on the web post.

5. Select ""Continue"", you'll be able to select the audience for your post and also add a description of your podcast episode in the ""Social Preview"" section.

Note: If you select to allow comments from no one i.e. disable comments, the post will not display the Episode details or Comments tab. It will appear as a regular post with the audio at the top and text below it.

6. Select the delivery method: check the box to send as a newsletter post and to the Substack app or uncheck the box to publish as a web post."
How does my podcast episode appear to my subscribers?,"If sent as a newsletter via email, subscribers will be able to click on ""Listen"" and view the post and listen to the audio on a new tab on their browser.

If subscribers have the Substack app downloaded, they'll get a notification on the Substack app or be able to see the post in their Inbox and listen to the episode directly on the app.

If your podcast post is for everyone (not a paid post), listeners can click play and listen directly to the audio on the web version of your publication.

If you're looking to move an existing podcast to Substack, you can find step-by-step instructions for importing episodes here: How do I move my podcast to Substack?

If you'd like to submit your podcast to a podcast app, you can find instructions here: How to I distribute my podcast to apps? https://support.substack.com/hc/en-us/articles/360038462911"
How do I move my podcast to Substack?,"If you already have a podcast hosted elsewhere, you can import past episodes to your Substack publication. 

To move an existing podcast:

Click the Podcast tab on your Dashboard and click ""Get Started"".
Select ""Import an existing podcast."" 
Copy and paste your current RSS feed URL and click ""Submit.""
Review the imported episodes and click ""Import all episodes."" 
Once imported, you can view your episodes on your Posts tab anytime.

Note: If you've already created a Podcast section, head to your Sections on your publication's Settings tab and click on the three dots to ""Edit"". Move an existing podcast RSS feed by clicking on ""Import a podcast""."
What happens after I import my episodes?,"After you've imported episodes to Substack, make sure to complete these two things: 

Submit your new feed link to podcast directories (this can help new listeners find your podcast).
Tell your previous podcast host to use your new feed link and re-direct so your existing listeners can follow you (also commonly called a 301 permanent redirect).
You can find your Substack feed link by clicking on Settings found on your Podcast tab. Scroll to the Import and Distribution section and find specific steps on how to submit your new link and re-direct with your previous podcast host."
How do I make changes to my podcast details that appears on apps and players?,"Details such as the show description, categories, and logo that are displayed in podcast apps and players comes from what's on your Podcast Settings.

To change these details, click Settings on your Podcast tab."
How to I distribute my podcast to apps?,"There are a few main directories you'll probably want to submit your podcast RSS feed to. Choose one of the links below to find out how to submit your podcast:

Apple Podcasts
Spotify

Stitcher

TuneIn

Pocket Casts

Once you’re approved by Apple, listeners will be able to find your podcast in pretty much any podcast directory, because most podcast apps just scrape from Apple.

Tip: Your Substack podcast feed link can be found by clicking on Settings on your Podcast tab."
I signed up for a newsletter but am not receiving any emails. What can I do?,"If you've signed up for a newsletter and haven't received your first email or you've been receiving emails and suddenly they've stopped coming, don't fret! Here are some trouble-shooting tips to help you get emails again from your favorite Substack writers.

Try testing your email address
To test whether your email delivery is working for a publication:

1. Navigate to https://publicationname.substack.com/account/email-test

You'll need to replace ""publication name"" with the name of the writer's Substack.

For example, if a newsletter you subscribe to is ""Skyline Trails"", enter the following URL:

https://skylinetrails.substack.com/account/email-test.

2. Log into the publication and select, ""Send test email"".

Check your email settings

If you have Gmail, check your Promotions tab. If a newsletter is in that section, move it to your Primary inbox.

Make sure that your email address on file is correct.

Check your spam folder to see if emails have gone there. If so, make sure to ""mark as not spam"" in your email client.

Add the publication's Substack email address to your contact list. All posts will be sent from this address: [subdomain]@substack.com. Replace 'subdomain' with the name of the publication. 

Send an email to the publication's Substack email address. This can often cause intermediate email filters to allow incoming messages.

If you are on a corporate or government email account, talk to your IT department and tell them to whitelist the publication's Substack email address.They often have email filters that are out of your individual control and can quickly resolve the issue.

There may be an email block

Go to your Substack account and see if there's an ""Email block"" message from Substack.

Follow the instructions on how to clear the email block.

If you're still not receiving any Substack emails, contact our Support team here.
https://support.substack.com/hc/en-us/requests/new"
How do I cancel my paid subscription?,"If you'd like to cancel a paid subscription to a publication, follow these steps:

1. Navigate to your Substack Settings page at this link: www.substack.com/settings

2. Under Subscriptions, click on the paid publication you want to cancel your subscription to.

3. Scroll to the link that says ""To cancel your subscription, click here"".

4. On the next page, select ""Cancel Subscription"".

Once you cancel your subscription, it will terminate at the end of the billing period and you will not be charged again. 

Note: By default, you'll now become a free subscriber. To completely unsubscribe, turn off notifications for that publication by following these steps. https://support.substack.com/hc/en-us/articles/360059788812-How-do-I-unsubscribe-from-a-free-subscription-"
Can I pause my paid subscription instead?,"Yes! If you'd like to pause your subscription, click ""Pause Subscription"" and select from the drop-down box how many months you'd like charges to be stopped for.

Your subscription to the publication will be paused immediately. We'll display a date when your subscription will resume as well as send you a reminder email three days before your subscription will be unpaused."
Can I pledge a Substack?,"If you'd like to show your support for a Substack but the writer hasn't enabled paid subscriptions, you can pledge a future subscription.

Once you click on a Subscribe button and enter your email address, you'll see the pledge options: yearly, monthly, or founding member. To continue without pledging, select ""No pledge"".

Note: If you don't see any pledge options, the writer may not have enabled this feature on their Substack.

Select a plan and click on ""Pledge a subscription"". On the next page, you'll be able to write a message to the writer of the publication about why you're pledging a future subscription.

After pledging a future paid subscription, you'll receive a confirmation email about how to manage your pledge. Your card will not be charged and your paid subscription will not begin until the Substack turns on paid subscriptions."
How do I cancel a Pledge?,"If you've pledged a paid subscription to a Substack and want to cancel, follow these steps:

Sign into your Substack account and click on your profile icon.

From the drop-down menu, select Settings.

Under Subscriptions, click on the publication where you want to cancel your pledge.

This will land you on your account page for that Substack. Click on, ""To cancel your pledge, click here"".

You'll still be subscribed as a free subscriber and will not be charged if the writer turns on paid subscriptions."
What happens if the writer enables paid subscriptions but they're higher than what I pledged?,"If a writer enables payments and the subscription plans are higher than the amount you pledged, then we'll notify you via email about the price change.

For example, if you pledged at $8.00/month but the writer enabled a $10.00/month subscription plan, your pledge won't automatically turn into a $10.00/month subscription.

You'll have the option to become a paid subscriber at the higher rate by clicking on ""Subscribe"" in the notification email and then you'll immediately become a paid subscriber."
How do I subscribe to or unsubscribe from a section on Substack?,"If you're a new subscriber to a publication on Substack, you'll receive all sections by default.

If you're already a subscriber and the writer has created a new section or sections, you'll need to subscribe to them in order to receive a new email newsletter or see a post in your app Inbox.

To subscribe to a section:

1. Navigate to your Settings page via www.substack.com/settings. Or when logged into your Substack account, select ""Settings"" from the drop-down menu.

2. Under Subscriptions, click on the publication that has sections you'd like to subscribe to.

3. On the next page, check the boxes next to each section you want to receive notifications about.

To unsubscribe from a section:

1. Navigate to your Settings page via www.substack.com/settings and click on the publication you want to make changes to (as seen in steps above).

2. Uncheck the box next to each section you'd like to stop receiving email or app Inbox newsletters from.

Alternatively, when you get an email newsletter, select ""Unsubscribe"" in the footer of the email and click on ""Turn off emails"" next to each section you'd like to unsubscribe from."
How do I listen to a Substack post?,"(For listeners)

With text-to-speech, you can listen to posts in the Substack app in just two steps.

Note: Text-to-speech is available on most but not on all publications.

1. Open the Substack app and tap on the headphones icon on a post. An Audio Options menu will appear.

2. Tap ""Play Now"" and the app player will appear. You can also tap ""Play Next"" to make a playlist of posts you'd like to hear at a later time.

Tips for text-to-speech:

Just like a podcast episode or voiceover, the audio will play in the background unless you tap pause or fully exit/fully close the app i.e. remove it from your device's menu of open apps.

You can speed up or slow down the reading by tapping on the playback speed button (ex. 1x). 

The voice can't be changed.

If a publication doesn't have text-to-speech available or on some older posts, you may see a message about how the post doesn't have audio when you tap the headphones icon.

Tip: Text-to-speech is only available on posts written in English.

(For writers)

As this feature is new, not all publications will have it enabled to start. If you'd like to request access to text-to-speech on your posts, please fill out this form and our team will review your request!"
How do I hide posts that I liked on my Substack profile?,"When you create a Substack profile, by default, posts that you like will appear on your profile.

Tip: Posts you've liked may not appear if the post is on an invite-only publication or if you've chosen not to display the publication on your Substack profile.

To make your likes private, follow these steps:

1. Sign into your Substack account and click on your profile picture. Select Settings.

2. Select ""Edit"" in the Profile section.

3. Scroll down to the Activity Privacy section and next to ""Your likes"" click the toggle. A grey toggle means that posts you've liked will not be displayed on your Substack profile and your profile won't appear on the Likes list on a post.

Note: Historical likes on posts prior to the launch of the new Likes feature (late May 2022) will not be visible. Ex. If in January 2022 you liked a post, that will not appear in the Liked section on your Substack profile."
How do I upgrade from being a free subscriber to a paid subscriber?,"If you've initially signed up as a free subscriber to a publication and would like to view paid posts, you'll need to change your subscription plan.

To become a paid subscriber, follow these steps:

1. Log into your Substack account at https://substack.com and click ""Sign In"".

2. Click on your profile icon and select Settings from the drop-down menu.

3. Navigate to the Subscriptions section and click on ""Edit"" next to the publication you'd like to make changes on.

4. On the next page, click on ""Upgrade to paid subscription"".

5. Select which paid plan you'd like to subscribe to.

Note: If you're a paid subscriber to at least one publication on Substack, you can subscribe with just one-click and will not need to re-enter your credit card details. If you've only been a free subscriber on Substack, you'll be prompted to enter your credit card details."
How do I report a comment?,"See a comment on a post that doesn't follow our content guidelines? Flag the comment and the author of the publication will see your report if they have reporting features enabled.

1. Click on the three dots below the comment and select ""Report comment"".

2. Enter your reasons why you think this comment should be removed.

3. Once you submit the report, the author of the publication will be notified and be able to review the comment and decide whether to remove or approve the comment from the post."
What are the symbols on my profile?,"Inspired by the designs of Japanese family crests, our Design team created symbols for reader profiles that embrace a richer meaning for people who support writers on Substack.

Founding members of a publication will display a five ring crest on their profile and paid subscribers of a publication will display a four ring crest.

You may notice these symbols when a reader leaves a comment on a post or on a reader's profile."
Can I edit my comment on a post?,"Yes– if you've left a comment on a post and noticed a typo or want to change what you wrote, you can now edit it!

1. Select the three dots underneath your comment and select ""Edit comment"".

2. Once you make your change, an edit status with a time stamp will appear next to your name on the comment."
How do I find a Substack publication?,"
Searching for a writer or publication? Check out the Discover page and search for new writers based on categories you're interested in.

If you're looking for a specific writer or publication, use the search bar at the top of the page."
Can I pay with Bitcoin on Substack?,"At this time, we're developing a feature where readers can pay with Bitcoin on Substack. While this is limited to a few selected newsletters, we're hoping to add this as a regular payment option in the near future."
